video_id,guest,title,duration
KeAZOj7tYsc,Rick Strassman,Father of Modern DMT Research,1:21:45
gTSBhfZhuD8,Dennis McKenna,Ayahuasca entities 50 years,1:31:50
z7eRtXV6ptA,Deborah Mash,Ibogaine first FDA licence,1:02:19
0cG09u74_KM,Kirsten Cherian,Ibogaine addiction revolution,1:31:57
mBy-UgSvdvg,Rick Doblin,History of MDMA,1:13:44
CV6u2OPN59Q,David Nichols,Psychedelic chemistry,1:50:19
sEmmmMma8Qs,Bryan L. Roth,LSD receptor crystal structure,1:02:30
FHyy3aW09sk,Matthew Johnson,Psilocybin 5 levels,1:20:25
gTc5QjyZuvY,Steven Barker,Endogenous DMT,1:46:59
NT7G4APDMYc,Adam Butler,DMT entities 100+ encounters,2:04:27
r7LYGKFSc7s,Manoj Doss,Psychedelic memory theory,1:46:19
kmNdc2lFnyY,Simon Ruffell,Amazonian Ayahuasca shaman,1:39:51
desl-qk0wVY,Michael Levin,Bioelectricity,1:15:35
xqw-DaWVK24,Denis Noble,Evolution purpose cell consciousness,1:30:19
6mU5nN5nlLA,Michael Levin & Earl Miller,Platonic space bioelectricity,1:39:24
